wav                     wpm     snr  freq imp    bucket  text
wav_000095.wav         34.5   -3.1dB   470 clean  mid     GHGM7WS9N4A?5FEGOSD
wav_000074.wav         34.6   -1.5dB   898 clean  mid     ZE1PFHDLIKWQIRHB1
wav_000067.wav         34.7  -12.9dB   630 qsb    mid     W5Y6002FORS35HRXC21P
wav_000027.wav         35.1    2.5dB   612 qsb    mid     0R/2XXWRH3NBVIN9
wav_000035.wav         36.6   -4.5dB   685 qsb    mid     JJTZFYV71BLV5ISG87/
wav_000016.wav         36.7    1.8dB   864 clean  mid     MPTHC1EV/GX317R83RP
wav_000042.wav         36.9   -1.4dB   481 clean  mid     2?XC2XE7UPB59QNS
wav_000099.wav         37.0  -15.2dB   820 clean  mid     MZMGCH265?14LLIUYPV
wav_000047.wav         37.6  -15.7dB   535 qsb    mid     X?MS69HGVXMZC/76UT
wav_000077.wav         37.7    2.0dB   430 qsb    mid     F?7XF6ZDIQZURMGKU
wav_000097.wav         37.8    3.1dB   430 qsb    mid     42YBI50EU?VGPY9D?
wav_000066.wav         38.2   -1.6dB   760 clean  mid     8UH5UZW3TFUTX6I1
wav_000034.wav         39.8    1.3dB   723 clean  mid     DE2/EF69CM4DVFL/7K
wav_000082.wav         40.6    4.8dB   814 qsb    fast    LFO/?VUJJ7EZVI15L9W
wav_000051.wav         40.7   -5.0dB   548 qsb    fast    ?V8I3H3L/MZ6ZL4P
wav_000069.wav         41.9    1.2dB   603 qsb    fast    NUVI5D/?A1ITRXXKT
wav_000063.wav         42.7    5.4dB   895 clean  fast    5PRZM89/NSE0IPJY48
wav_000088.wav         44.6    4.7dB   709 clean  fast    N07DK67BMP?M3HP2
wav_000055.wav         44.7   -3.2dB   521 qsb    fast    7T9L1DYU0Y8OJD0IQF
wav_000010.wav         44.7    5.0dB   873 clean  fast    0PGCO3OMRR68BQQ/U6
wav_000017.wav         44.9    2.3dB   493 clean  fast    QR7F0P5BOPX793QM8L4
wav_000098.wav         46.4   -3.0dB   818 clean  fast    225HB0?T93XOV4XHO
wav_000061.wav         46.8  -14.5dB   539 qsb    fast    WYYSEJJUF/RF26B9UAY
wav_000031.wav         47.4  -17.1dB   819 qsb    fast    9//TW?ZB70KUFJDR12NH
wav_000086.wav         48.4    1.0dB   440 clean  fast    C7J2KM11JQE9U7A7HJG
wav_000068.wav         48.8   -7.9dB   579 qsb    fast    KND88SR6G0RIIUZRYFRX
wav_000020.wav         50.0    0.2dB   528 clean  fast    BRL2L154VGV5Z9?U
wav_000007.wav         50.6  -14.2dB   841 clean  fast    PC07QUZTE?NIEX2T7
wav_000018.wav         51.9   -6.5dB   762 qsb    fast    C9I5A4VD4EEDTP0OY21D
wav_000024.wav         52.4  -17.4dB   530 clean  fast    382T13M4YSS/D5SO
wav_000002.wav         52.8  -15.0dB   416 clean  fast    EU53I91ZIFHK1Y39AH
wav_000053.wav         53.6    5.3dB   869 clean  fast    9MJ7N56D6DTZAE/8E4/I
wav_000013.wav         55.6    5.4dB   869 clean  fast    39269K4PR7PEPUFO
wav_000021.wav         56.5  -11.8dB   718 clean  fast    D9S5PT9OHHJSR4PJ6IR
wav_000029.wav         57.3    2.2dB   605 clean  fast    52FJR9Y76GH9NO3GUX4
wav_000090.wav         59.3   -4.0dB   646 qsb    fast    RRT7DZI5QZCMO4WK
wav_000015.wav         59.6    1.0dB   619 clean  fast    LY3Y0F8WECPBPHNQK
